metric_code,date_time,week_num,value,location
fwater_ec,2024-12-30,2025-01,174.5,GH3
fwater_ec,2024-12-31,2025-01,182.0,GH3
fwater_ec,2025-01-01,2025-01,167.0,GH3
fwater_ec,2025-01-02,2025-01,172.8,GH3
fwater_ec,2025-01-03,2025-01,184.5,GH3
fwater_ec,2025-01-04,2025-01,174.0,GH3
fwater_ec,2025-01-05,2025-01,,GH3
fwater_ec,2025-01-06,2025-02,1704.0,GH3
fwater_ec,2025-01-07,2025-02,1584.0,GH3
fwater_ec,2025-01-08,2025-02,1602.0,GH3
fwater_ec,2025-01-09,2025-02,1672.0,GH3
fwater_ec,2025-01-10,2025-02,1638.0,GH3
fwater_ec,2025-01-11,2025-02,165.0,GH3
fwater_ec,2025-01-12,2025-02,1508.0,GH3
fwater_ec,2025-01-13,2025-03,159.0,GH3
fwater_ec,2025-01-14,2025-03,157.0,GH3
fwater_ec,2025-01-15,2025-03,161.0,GH3
fwater_ec,2025-01-16,2025-03,162.8,GH3
fwater_ec,2025-01-17,2025-03,161.0,GH3
fwater_ec,2025-01-18,2025-03,173.0,GH3
fwater_ec,2025-01-19,2025-03,164.0,GH3
fwater_ec,2025-01-20,2025-04,159.0,GH3
fwater_ec,2025-01-21,2025-04,161.0,GH3
fwater_ec,2025-01-22,2025-04,162.0,GH3
fwater_ec,2025-01-23,2025-04,155.0,GH3
fwater_ec,2025-01-24,2025-04,166.0,GH3
fwater_ec,2025-01-25,2025-04,,GH3
fwater_ec,2025-01-26,2025-04,,GH3
fwater_ec,2025-01-27,2025-05,156.0,GH3
fwater_ec,2025-01-28,2025-05,162.0,GH3
fwater_ec,2025-01-29,2025-05,165.0,GH3
fwater_ec,2025-01-30,2025-05,154.0,GH3
fwater_ec,2025-01-31,2025-05,157.0,GH3
fwater_ec,2025-02-01,2025-05,154.0,GH3
fwater_ec,2025-02-02,2025-05,157.5,GH3
fwater_ec,2025-02-03,2025-06,162.0,GH3
fwater_ec,2025-02-04,2025-06,160.0,GH3
fwater_ec,2025-02-05,2025-06,161.0,GH3
fwater_ec,2025-02-06,2025-06,162.0,GH3
fwater_ec,2025-02-07,2025-06,161.0,GH3
fwater_ec,2025-02-08,2025-06,161.0,GH3
fwater_ec,2025-02-09,2025-06,,GH3
fwater_ec,2025-02-10,2025-07,162.0,GH3
fwater_ec,2025-02-11,2025-07,161.0,GH3
fwater_ec,2025-02-12,2025-07,159.0,GH3
fwater_ec,2025-02-13,2025-07,155.0,GH3
fwater_ec,2025-02-14,2025-07,160.0,GH3
fwater_ec,2025-02-15,2025-07,158.4,GH3
fwater_ec,2025-02-16,2025-07,,GH3
fwater_ec,2025-02-17,2025-08,161.0,GH3
fwater_ec,2025-02-18,2025-08,166.0,GH3
fwater_ec,2025-02-19,2025-08,165.0,GH3
fwater_ec,2025-02-20,2025-08,162.0,GH3
fwater_ec,2025-02-21,2025-08,164.0,GH3
fwater_ec,2025-02-22,2025-08,,GH3
fwater_ec,2025-02-23,2025-08,,GH3
fwater_ec,2025-02-24,2025-09,163.0,GH3
fwater_ec,2025-02-25,2025-09,162.0,GH3
fwater_ec,2025-02-26,2025-09,161.0,GH3
fwater_ec,2025-02-27,2025-09,159.0,GH3
fwater_ec,2025-02-28,2025-09,165.0,GH3
fwater_ec,2025-03-01,2025-09,165.0,GH3
fwater_ec,2025-03-02,2025-09,141.0,GH3
fwater_ec,2025-03-03,2025-10,144.0,GH3
fwater_ec,2025-03-04,2025-10,141.0,GH3
fwater_ec,2025-03-05,2025-10,148.0,GH3
fwater_ec,2025-03-06,2025-10,146.0,GH3
fwater_ec,2025-03-07,2025-10,147.0,GH3
fwater_ec,2025-03-08,2025-10,151.0,GH3
fwater_ec,2025-03-09,2025-10,130.0,GH3
fwater_ec,2025-03-10,2025-11,150.0,GH3
fwater_ec,2025-03-11,2025-11,158.0,GH3
fwater_ec,2025-03-12,2025-11,156.0,GH3
fwater_ec,2025-03-13,2025-11,155.0,GH3
fwater_ec,2025-03-14,2025-11,152.0,GH3
fwater_ec,2025-03-15,2025-11,147.0,GH3
fwater_ec,2025-03-16,2025-11,139.0,GH3
fwater_ec,2025-03-17,2025-12,145.0,GH3
fwater_ec,2025-03-18,2025-12,142.0,GH3
fwater_ec,2025-03-19,2025-12,146.0,GH3
