metric_code,date_time,week_num,value,location
fwater_ec,2025-01-06,2025-01,,NURSERY
fwater_ec,2025-01-07,2025-01,,NURSERY
fwater_ec,2025-01-08,2025-01,0.0,NURSERY
fwater_ec,2025-01-09,2025-01,,NURSERY
fwater_ec,2025-01-10,2025-01,,NURSERY
fwater_ec,2025-01-11,2025-01,,NURSERY
fwater_ec,2025-01-12,2025-01,,NURSERY
fwater_ec,2025-01-13,2025-02,,NURSERY
fwater_ec,2025-01-14,2025-02,,NURSERY
fwater_ec,2025-01-15,2025-02,0.0,NURSERY
fwater_ec,2025-01-16,2025-02,,NURSERY
fwater_ec,2025-01-17,2025-02,,NURSERY
fwater_ec,2025-01-18,2025-02,,NURSERY
fwater_ec,2025-01-19,2025-02,,NURSERY
fwater_ec,2025-01-20,2025-03,,NURSERY
fwater_ec,2025-01-21,2025-03,,NURSERY
fwater_ec,2025-01-22,2025-03,0.0,NURSERY
fwater_ec,2025-01-23,2025-03,,NURSERY
fwater_ec,2025-01-24,2025-03,,NURSERY
fwater_ec,2025-01-25,2025-03,,NURSERY
fwater_ec,2025-01-26,2025-03,,NURSERY
fwater_ec,2025-01-27,2025-04,,NURSERY
fwater_ec,2025-01-28,2025-04,,NURSERY
fwater_ec,2025-01-29,2025-04,0.0,NURSERY
fwater_ec,2025-01-30,2025-04,,NURSERY
fwater_ec,2025-01-31,2025-04,,NURSERY
fwater_ec,2025-02-01,2025-04,,NURSERY
fwater_ec,2025-02-02,2025-04,,NURSERY
fwater_ec,2025-02-03,2025-05,,NURSERY
fwater_ec,2025-02-04,2025-05,,NURSERY
fwater_ec,2025-02-05,2025-05,145.5,NURSERY
fwater_ec,2025-02-06,2025-05,145.0,NURSERY
fwater_ec,2025-02-07,2025-05,145.0,NURSERY
fwater_ec,2025-02-08,2025-05,146.3,NURSERY
fwater_ec,2025-02-09,2025-05,145.6,NURSERY
fwater_ec,2025-02-10,2025-06,,NURSERY
fwater_ec,2025-02-11,2025-06,,NURSERY
fwater_ec,2025-02-12,2025-06,143.83333333333334,NURSERY
fwater_ec,2025-02-13,2025-06,144.0,NURSERY
fwater_ec,2025-02-14,2025-06,145.0,NURSERY
fwater_ec,2025-02-15,2025-06,144.0,NURSERY
fwater_ec,2025-02-16,2025-06,141.0,NURSERY
fwater_ec,2025-02-17,2025-07,,NURSERY
fwater_ec,2025-02-18,2025-07,,NURSERY
